Page,Slide #,Semantic slide name,Gamma source IDs / section IDs,Disposition,Figma storage
Consumers,1,01 Hero — Practical everyday AI support,g_8er3liuqy9be299:l0shbj6qqqin177; g_mszbmaxrqvfvjlg:xfn9qbag2vtxq2v,"Best-of synthesis; prices, units and activation excluded.",Stored in Figma shared plugin data: atlas/sourceMap
Consumers,2,02 Use areas — Four practical jobs,g_8er3liuqy9be299:02pzbr1p10y8flv; g_mszbmaxrqvfvjlg:9dq58o867qz8yu8,Condensed six use areas to four.,Stored in Figma shared plugin data: atlas/sourceMap
Consumers,3,03 Safe-use workflow,g_8er3liuqy9be299:qk7ygcnbiwbclh6; g_mszbmaxrqvfvjlg:487wd3ieybyvoap; g_mszbmaxrqvfvjlg:2qjjpjmhelsyftc,Dashboard implementation excluded.,Stored in Figma shared plugin data: atlas/sourceMap
Consumers,4,04 Family responsibility,g_8er3liuqy9be299:zm19swtxkgmjznk; g_mszbmaxrqvfvjlg:9rjovm40syfrro5; g_mszbmaxrqvfvjlg:0muekfggsxdaqne,Family terms remain proposed.,Stored in Figma shared plugin data: atlas/sourceMap
Consumers,5,05 Plan entry points,g_8er3liuqy9be299:9peyhjp5ebtfarq; g_mszbmaxrqvfvjlg:a2wup9lxzni1u70; g_mszbmaxrqvfvjlg:3s5uwsvcblim0x6,Prices/units/checkout excluded.,Stored in Figma shared plugin data: atlas/sourceMap
Consumers,6,06 Provider lanes,g_8er3liuqy9be299:jz8ge5b4iunqh1w; g_mszbmaxrqvfvjlg:a2wup9lxzni1u70,Conditional provider language.,Stored in Figma shared plugin data: atlas/sourceMap
Consumers,7,07 Safety limits,g_8er3liuqy9be299:ku43b4x213zb1ua; g_mszbmaxrqvfvjlg:0muekfggsxdaqne; g_mszbmaxrqvfvjlg:2qjjpjmhelsyftc,Retained.,Stored in Figma shared plugin data: atlas/sourceMap
Consumers,8,08 CTA,g_8er3liuqy9be299:1rr1qkw97ns7q0w; g_mszbmaxrqvfvjlg:3s5uwsvcblim0x6,Interest-only CTA.,Stored in Figma shared plugin data: atlas/sourceMap
Pricing,1,01 Hero — Pricing by audience,g_kfoy2fc7p5akvh2:32iatjs26jh7sy0; g_16ag7yuqbp5y916:9a0946ncavdxgw3,No approved amounts.,Stored in Figma shared plugin data: atlas/sourceMap
Pricing,2,02 Entry points,g_kfoy2fc7p5akvh2:qjsjytgqb5lcpjo; g_kfoy2fc7p5akvh2:s5hdepg3048h72t; g_kfoy2fc7p5akvh2:ru0khatcalz05l9; g_16ag7yuqbp5y916:c6vbj5yoh4yqznm; g_16ag7yuqbp5y916:geht1gkjh0rgrmm; g_16ag7yuqbp5y916:bmsf93d13oy2bp9,Audience structure only.,Stored in Figma shared plugin data: atlas/sourceMap
Pricing,3,03 Comparison,g_kfoy2fc7p5akvh2:lykv63of989t85d; g_16ag7yuqbp5y916:aq4f5dtgqle9bkw,No numeric comparison.,Stored in Figma shared plugin data: atlas/sourceMap
Pricing,4,04 Included controls,g_kfoy2fc7p5akvh2:t6lhnpvgqsj74rr; g_16ag7yuqbp5y916:iqttcmr23a8fvp1,"Intended controls, not implementation.",Stored in Figma shared plugin data: atlas/sourceMap
Pricing,5,05 Cost model,g_kfoy2fc7p5akvh2:vme9m1p8v99vsu5; g_16ag7yuqbp5y916:bbo0z9gqk5ubdlg,Provider/licence separation.,Stored in Figma shared plugin data: atlas/sourceMap
Pricing,6,06 Managed Secure,g_kfoy2fc7p5akvh2:qjsjytgqb5lcpjo; g_16ag7yuqbp5y916:c6vbj5yoh4yqznm,Qualification only.,Stored in Figma shared plugin data: atlas/sourceMap
Pricing,7,07 Status and FAQ,g_kfoy2fc7p5akvh2:ihh5zbjvpqmjnxc; g_kfoy2fc7p5akvh2:vsb01d6bhjw2yl8; g_16ag7yuqbp5y916:6imgrfdh1lnt71t,Conditional status.,Stored in Figma shared plugin data: atlas/sourceMap
Pricing,8,08 CTA,g_kfoy2fc7p5akvh2:lykv63of989t85d; g_16ag7yuqbp5y916:kc3i7fqdu8mke4w,Review/interest only.,Stored in Figma shared plugin data: atlas/sourceMap
Legal,1,01 Hero — Legal centre,g_1n1texxcslm7raj:mtaajxckhba9n1k; g_yjywnk4hkdlio1h:514yi6nizdoa46i,Draft status.,Stored in Figma shared plugin data: atlas/sourceMap
Legal,2,02 Document status,g_1n1texxcslm7raj:u85km1k7tg90lgh; g_yjywnk4hkdlio1h:qqpr8crilvx5df7,Fabricated dates/status excluded.,Stored in Figma shared plugin data: atlas/sourceMap
Legal,3,03 Privacy/data,g_1n1texxcslm7raj:2401f9c5i3ypumv; g_yjywnk4hkdlio1h:ftr38r7fyt69nfs,Legal details pending.,Stored in Figma shared plugin data: atlas/sourceMap
Legal,4,04 Terms/subscription,g_1n1texxcslm7raj:lok0gqnprabo0y0; g_1n1texxcslm7raj:6z51okdcci5jnb4; g_yjywnk4hkdlio1h:8s4436ipl1tvgr0,Terms pending.,Stored in Figma shared plugin data: atlas/sourceMap
Legal,5,05 Acceptable use,g_1n1texxcslm7raj:knd4aamwcmjp1oc; g_yjywnk4hkdlio1h:s37kw6rwh5jprpw,Boundaries retained.,Stored in Figma shared plugin data: atlas/sourceMap
Legal,6,06 Cookies/accessibility,g_1n1texxcslm7raj:0hhvv9vx0vz4g3s; g_yjywnk4hkdlio1h:jkzvbx62sbss58m,"Targets, not compliance.",Stored in Figma shared plugin data: atlas/sourceMap
Legal,7,07 Providers/disclaimer,g_1n1texxcslm7raj:z2caim70q8ze0ez; g_yjywnk4hkdlio1h:x8iqwhop9k1qz7c; g_yjywnk4hkdlio1h:mk0796oriwmlmx7,Provider rights pending.,Stored in Figma shared plugin data: atlas/sourceMap
Legal,8,08 Version control,g_1n1texxcslm7raj:u85km1k7tg90lgh; g_yjywnk4hkdlio1h:qqpr8crilvx5df7,No effective date/approval claim.,Stored in Figma shared plugin data: atlas/sourceMap
About,1,01 Hero,g_kiqopadptv013eb:8pwyobqv7va1mrg; g_zom6o9oqoh7qbz8:r59jilrqx7dqvmb,Core positioning.,Stored in Figma shared plugin data: atlas/sourceMap
About,2,02 Atlas role,g_kiqopadptv013eb:ulawh61m4ononzi; g_zom6o9oqoh7qbz8:szxqwxuqvzdhf78,Provider boundary.,Stored in Figma shared plugin data: atlas/sourceMap
