task_id,window,priority,workstream,task,owner_role,dependency,status,evidence,classification
SEC-0001,0-7 days,P0,Governance,"Ingest the complete security report pair, checksum it, classify findings and supersede the report's missing-internal-evidence premise.",Governance owner,None,IN_PROGRESS,"GitHub raw artifact, reconciliation, hashes, Drive archive",AUTO_APPROVED
SEC-0002,0-7 days,P0,Release control,"Reconfirm and read back publicAllowed=false, purchaseAllowed=false, releaseApproved=false and NO_GO after all updates.",Release owner,SEC-0001,CONTROLLED,Canonical register and release-readback record,CANONICAL
SEC-0003,0-7 days,P0,Business plan,"Update the master strategy, phase guide, launch gates, Wix copy pack and governance baseline with the security/privacy operating model.",Project owner,SEC-0001,IN_PROGRESS,Merged PR and Drive mirror replacements,APPROVED
SEC-0004,0-7 days,P0,Ownership,"Name security, privacy, incident, release and test-data owners and record deputies/escalation paths.",Project owner,None,PENDING_OWNER_INPUT,Signed owner map,PENDING_REVIEW
SEC-0005,0-7 days,P0,Administrative IAM,"Verify MFA/passkeys and recovery methods for Wix, GitHub, Azure, email and backend accounts.",Security owner,SEC-0004,EVIDENCE_PENDING,Sanitized settings exports/screenshots,AUTO_APPROVED
SEC-0006,0-7 days,P0,Secrets,"Inventory secrets and scan repositories, workflows, frontend/Velo, documentation, screenshots and URL patterns.",Security owner,SEC-0004,EVIDENCE_PENDING,Secret inventory and clean scan,AUTO_APPROVED
SEC-0007,0-7 days,P0,Wix public plane,"Verify collaborator roles, public form fields, no-confidential-upload warning, notification routing and tracker/cookie state.",Website/privacy owner,SEC-0004,NOT_RUN,Wix current-state evidence pack,AUTO_APPROVED
SEC-0008,0-7 days,P0,GitHub,"Verify rulesets/branch protection, CODEOWNERS, required reviews, workflow permissions, secret protection and dependency/code scanning availability.",Engineering/security owner,SEC-0004,NOT_RUN,Repository settings export and CI results,AUTO_APPROVED
SEC-0009,0-30 days,P0,Privacy operations,Create the Atlas ROPA and lane-level controller/processor role matrix.,Privacy/legal owner,SEC-0004,PLANNED,Approved ROPA and role matrix,AUTO_APPROVED
SEC-0010,0-30 days,P0,Privacy operations,"Create purpose/lawful-basis, retention/deletion, cookie/tracker and rights-request registers.",Privacy owner,SEC-0009,PLANNED,Approved registers and test cases,PENDING_REVIEW
SEC-0011,0-30 days,P0,Privacy operations,"Create DPIA screening criteria and complete screening for public site, members, consumer plans, business onboarding and Managed Secure.",Privacy owner,SEC-0009,PLANNED,Signed screenings and DPIAs where triggered,AUTO_APPROVED
SEC-0012,0-30 days,P0,Supplier governance,"Build provider/supplier register covering Wix, GitHub, Microsoft/Azure, AI providers, payment, analytics and contractors.",Supplier/privacy owner,SEC-0009,PLANNED,"Supplier assessments, DPAs, subprocessor records",AUTO_APPROVED
SEC-0013,0-30 days,P0,Transfers,Complete per-lane transfer assessment and SCC/other safeguard pack where required.,Privacy/legal owner,SEC-0012,PLANNED,TIA/SCC pack,PENDING_REVIEW
