Plan/package identity,GitHub contract,Wix CMS AtlasPackages/AtlasOffers,Checkout/Pricing Plans,Terms,Runtime,Current result,Gate
business-executive-decision-support @ 0.5.0-draft,DEFINED,REQUIRES_ID_AND_VERSION_RECONCILIATION,ABSENT_OR_DISABLED,UNAPPROVED,rp-0.5-blocked-v1,BLOCKED,G02/G03/G05/G06/G09/G21
business-commercial-growth @ 0.5.0-draft,DEFINED,REQUIRES_ID_AND_VERSION_RECONCILIATION,ABSENT_OR_DISABLED,UNAPPROVED,rp-0.5-blocked-v1,BLOCKED,G02/G03/G05/G06/G09/G21
business-finance-operations @ 0.5.0-draft,DEFINED,REQUIRES_ID_AND_VERSION_RECONCILIATION,ABSENT_OR_DISABLED,UNAPPROVED,rp-0.5-blocked-v1,BLOCKED,G02/G03/G05/G06/G09/G21
business-research-multi-engine @ 0.5.0-draft,DEFINED,REQUIRES_ID_AND_VERSION_RECONCILIATION,ABSENT_OR_DISABLED,UNAPPROVED,rp-0.5-blocked-v1,BLOCKED,G02/G03/G05/G06/G09/G21
business-workspace-team-adoption @ 0.5.0-draft,DEFINED,REQUIRES_ID_AND_VERSION_RECONCILIATION,ABSENT_OR_DISABLED,UNAPPROVED,rp-0.5-blocked-v1,BLOCKED,G02/G03/G05/G06/G09/G21
student-basic @ 0.5.0-draft,DEFINED,REQUIRES_ID_AND_VERSION_RECONCILIATION,ABSENT_OR_DISABLED,UNAPPROVED,rp-0.5-blocked-v1,BLOCKED,G02/G03/G05/G06/G09/G21
student-plus @ 0.5.0-draft,DEFINED,REQUIRES_ID_AND_VERSION_RECONCILIATION,ABSENT_OR_DISABLED,UNAPPROVED,rp-0.5-blocked-v1,BLOCKED,G02/G03/G05/G06/G09/G21
everyday-basic @ 0.5.0-draft,DEFINED,REQUIRES_ID_AND_VERSION_RECONCILIATION,ABSENT_OR_DISABLED,UNAPPROVED,rp-0.5-blocked-v1,BLOCKED,G02/G03/G05/G06/G09/G21
family @ 0.5.0-draft,DEFINED,REQUIRES_ID_AND_VERSION_RECONCILIATION,ABSENT_OR_DISABLED,UNAPPROVED,rp-0.5-blocked-v1,BLOCKED,G02/G03/G05/G06/G09/G21
managed-secure @ 0.5.0-draft,DEFINED,REQUIRES_ID_AND_VERSION_RECONCILIATION,ABSENT_OR_DISABLED,UNAPPROVED,rp-0.5-blocked-v1,BLOCKED,G02/G03/G05/G06/G09/G21
