plan_id,display_name,segment,version,status,effective_date,gross_price_nok,net_price_nok,mva_treatment,billing_period,cancellation_refund_rule,capability_classes,allowance_unit,premium_use_unit,named_user_limit,shared_pool_rule,hard_cap,warning_thresholds,reset_rule,rollover,overage,downgrade,suspension,terms_version,provider_disclosure_version,claim_references,owner,approval_status,routing_policy_version,meter_unit,fallback,outage_behavior,ledger_mapping,public_allowed,purchase_allowed,delivery_mode
business-executive-decision-support,Executive and decision-support workflows,BUSINESS,0.5.0-draft,QUOTE_CONTROLLED,,,,TBD_PROFESSIONAL_CONFIRMATION,FIXED_SCOPE_OR_RECURRING_AS_QUOTED,TBD_CONTRACT_SPECIFIC,STANDARD|ADVANCED|PREMIUM|RESTRICTED,NOT_APPLICABLE_UNTIL_QUOTED,NOT_APPLICABLE_UNTIL_QUOTED,TBD_PER_QUOTE,TBD_PER_QUOTE,True,TBD_PER_QUOTE,TBD_PER_QUOTE,False,NO_SILENT_OVERAGE,TBD_PER_QUOTE,ALLOWED_FOR_COST_SAFETY_POLICY_OR_NONPAYMENT,UNAPPROVED,UNAPPROVED,SOLUTION_LAYER_POSITIONING,COMMERCIAL_OWNER_TBD,PENDING_REVIEW,rp-0.5-blocked-v1,TBD_BY_DELIVERY_MODE,NO_AUTOMATIC_PROVIDER_PROMISE,PAUSE_OR_APPROVED_FALLBACK_ONLY,TBD_PHASE_3,False,False,CUSTOMER_OWNED_LICENSE_OR_ITEMIZED_PROVIDER_COST
business-commercial-growth,Commercial growth workflows,BUSINESS,0.5.0-draft,QUOTE_CONTROLLED,,,,TBD_PROFESSIONAL_CONFIRMATION,FIXED_SCOPE_OR_RECURRING_AS_QUOTED,TBD_CONTRACT_SPECIFIC,STANDARD|ADVANCED|PREMIUM|RESTRICTED,NOT_APPLICABLE_UNTIL_QUOTED,NOT_APPLICABLE_UNTIL_QUOTED,TBD_PER_QUOTE,TBD_PER_QUOTE,True,TBD_PER_QUOTE,TBD_PER_QUOTE,False,NO_SILENT_OVERAGE,TBD_PER_QUOTE,ALLOWED_FOR_COST_SAFETY_POLICY_OR_NONPAYMENT,UNAPPROVED,UNAPPROVED,SOLUTION_LAYER_POSITIONING,COMMERCIAL_OWNER_TBD,PENDING_REVIEW,rp-0.5-blocked-v1,TBD_BY_DELIVERY_MODE,NO_AUTOMATIC_PROVIDER_PROMISE,PAUSE_OR_APPROVED_FALLBACK_ONLY,TBD_PHASE_3,False,False,CUSTOMER_OWNED_LICENSE_OR_ITEMIZED_PROVIDER_COST
business-finance-operations,Finance and operations support workflows,BUSINESS,0.5.0-draft,QUOTE_CONTROLLED,,,,TBD_PROFESSIONAL_CONFIRMATION,FIXED_SCOPE_OR_RECURRING_AS_QUOTED,TBD_CONTRACT_SPECIFIC,STANDARD|ADVANCED|PREMIUM|RESTRICTED,NOT_APPLICABLE_UNTIL_QUOTED,NOT_APPLICABLE_UNTIL_QUOTED,TBD_PER_QUOTE,TBD_PER_QUOTE,True,TBD_PER_QUOTE,TBD_PER_QUOTE,False,NO_SILENT_OVERAGE,TBD_PER_QUOTE,ALLOWED_FOR_COST_SAFETY_POLICY_OR_NONPAYMENT,UNAPPROVED,UNAPPROVED,SOLUTION_LAYER_POSITIONING|HUMAN_REVIEW_REQUIRED,COMMERCIAL_OWNER_TBD,PENDING_REVIEW,rp-0.5-blocked-v1,TBD_BY_DELIVERY_MODE,NO_AUTOMATIC_PROVIDER_PROMISE,PAUSE_OR_APPROVED_FALLBACK_ONLY,TBD_PHASE_3,False,False,CUSTOMER_OWNED_LICENSE_OR_ITEMIZED_PROVIDER_COST
business-research-multi-engine,Research and multi-engine workflows,BUSINESS,0.5.0-draft,QUOTE_CONTROLLED,,,,TBD_PROFESSIONAL_CONFIRMATION,FIXED_SCOPE_OR_RECURRING_AS_QUOTED,TBD_CONTRACT_SPECIFIC,STANDARD|ADVANCED|PREMIUM|RESTRICTED,NOT_APPLICABLE_UNTIL_QUOTED,NOT_APPLICABLE_UNTIL_QUOTED,TBD_PER_QUOTE,TBD_PER_QUOTE,True,TBD_PER_QUOTE,TBD_PER_QUOTE,False,NO_SILENT_OVERAGE,TBD_PER_QUOTE,ALLOWED_FOR_COST_SAFETY_POLICY_OR_NONPAYMENT,UNAPPROVED,UNAPPROVED,MULTI_PROVIDER_ORIENTATION|HUMAN_REVIEW_REQUIRED,COMMERCIAL_OWNER_TBD,PENDING_REVIEW,rp-0.5-blocked-v1,TBD_BY_DELIVERY_MODE,NO_AUTOMATIC_PROVIDER_PROMISE,PAUSE_OR_APPROVED_FALLBACK_ONLY,TBD_PHASE_3,False,False,CUSTOMER_OWNED_LICENSE_OR_ITEMIZED_PROVIDER_COST
business-workspace-team-adoption,Business workspace and team adoption,BUSINESS,0.5.0-draft,QUOTE_CONTROLLED,,,,TBD_PROFESSIONAL_CONFIRMATION,FIXED_SCOPE_OR_RECURRING_AS_QUOTED,TBD_CONTRACT_SPECIFIC,STANDARD|ADVANCED|PREMIUM|RESTRICTED,NOT_APPLICABLE_UNTIL_QUOTED,NOT_APPLICABLE_UNTIL_QUOTED,TBD_PER_QUOTE,TBD_PER_QUOTE,True,TBD_PER_QUOTE,TBD_PER_QUOTE,False,NO_SILENT_OVERAGE,TBD_PER_QUOTE,ALLOWED_FOR_COST_SAFETY_POLICY_OR_NONPAYMENT,UNAPPROVED,UNAPPROVED,SOLUTION_LAYER_POSITIONING,COMMERCIAL_OWNER_TBD,PENDING_REVIEW,rp-0.5-blocked-v1,TBD_BY_DELIVERY_MODE,NO_AUTOMATIC_PROVIDER_PROMISE,PAUSE_OR_APPROVED_FALLBACK_ONLY,TBD_PHASE_3,False,False,CUSTOMER_OWNED_LICENSE_OR_ITEMIZED_PROVIDER_COST
student-basic,Student Basic,STUDENT,0.5.0-draft,PROPOSED_EARLY_ACCESS_BLOCKED,,119.0,95.2,PLANNING_ASSUMPTION_25_PERCENT_PENDING_CONFIRMATION,MONTHLY_PROPOSED,UNAPPROVED,STANDARD|ADVANCED|PREMIUM|RESTRICTED,3M_NORMALIZED_STANDARD_UNITS_PROPOSED,DETERMINISTIC_COST_BUDGET_TBD,1,NONE,True,CONFIGURABLE_TBD,MONTHLY_IDEMPOTENT_TIMEZONE_DEFINED_TBD,False,DISABLED,TBD,ON_CAP_COST_ALERT_PAYMENT_OR_POLICY_EVENT,UNAPPROVED,UNAPPROVED,EARLY_ACCESS|ACADEMIC_INTEGRITY|NO_UNLIMITED_USE,COMMERCIAL_OWNER_TBD,PENDING_REVIEW,rp-0.5-blocked-v1,NORMALIZED_STANDARD_USE_AND_PREMIUM_USE_UNITS,PAUSE_OR_REDUCED_CAPABILITY_ONLY_AFTER_APPROVAL,NO_PROVIDER_AVAILABILITY_PROMISE,TBD_PHASE_3,False,False,UNDECIDED_API_SEAT_OR_CUSTOMER_OWNED
student-plus,Student Plus,STUDENT,0.5.0-draft,PROPOSED_EARLY_ACCESS_BLOCKED,,169.0,135.2,PLANNING_ASSUMPTION_25_PERCENT_PENDING_CONFIRMATION,MONTHLY_PROPOSED,UNAPPROVED,STANDARD|ADVANCED|PREMIUM|RESTRICTED,6M_NORMALIZED_STANDARD_UNITS_PROPOSED,DETERMINISTIC_COST_BUDGET_TBD,1,NONE,True,CONFIGURABLE_TBD,MONTHLY_IDEMPOTENT_TIMEZONE_DEFINED_TBD,False,DISABLED,TBD,ON_CAP_COST_ALERT_PAYMENT_OR_POLICY_EVENT,UNAPPROVED,UNAPPROVED,EARLY_ACCESS|ACADEMIC_INTEGRITY|NO_UNLIMITED_USE,COMMERCIAL_OWNER_TBD,PENDING_REVIEW,rp-0.5-blocked-v1,NORMALIZED_STANDARD_USE_AND_PREMIUM_USE_UNITS,PAUSE_OR_REDUCED_CAPABILITY_ONLY_AFTER_APPROVAL,NO_PROVIDER_AVAILABILITY_PROMISE,TBD_PHASE_3,False,False,UNDECIDED_API_SEAT_OR_CUSTOMER_OWNED
everyday-basic,Everyday Basic,CONSUMER,0.5.0-draft,PROPOSED_EARLY_ACCESS_BLOCKED,,149.0,119.2,PLANNING_ASSUMPTION_25_PERCENT_PENDING_CONFIRMATION,MONTHLY_PROPOSED,UNAPPROVED,STANDARD|ADVANCED|PREMIUM|RESTRICTED,4M_NORMALIZED_STANDARD_UNITS_PROPOSED,DETERMINISTIC_COST_BUDGET_TBD,1,NONE,True,CONFIGURABLE_TBD,MONTHLY_IDEMPOTENT_TIMEZONE_DEFINED_TBD,False,DISABLED,TBD,ON_CAP_COST_ALERT_PAYMENT_OR_POLICY_EVENT,UNAPPROVED,UNAPPROVED,EARLY_ACCESS|CONSUMER_SAFETY|NO_UNLIMITED_USE,COMMERCIAL_OWNER_TBD,PENDING_REVIEW,rp-0.5-blocked-v1,NORMALIZED_STANDARD_USE_AND_PREMIUM_USE_UNITS,PAUSE_OR_REDUCED_CAPABILITY_ONLY_AFTER_APPROVAL,NO_PROVIDER_AVAILABILITY_PROMISE,TBD_PHASE_3,False,False,UNDECIDED_API_SEAT_OR_CUSTOMER_OWNED
family,Family,CONSUMER_FAMILY,0.5.0-draft,PROPOSED_EARLY_ACCESS_BLOCKED,,349.0,279.2,PLANNING_ASSUMPTION_25_PERCENT_PENDING_CONFIRMATION,MONTHLY_PROPOSED,UNAPPROVED,STANDARD|ADVANCED|PREMIUM|RESTRICTED,14M_SHARED_NORMALIZED_STANDARD_UNITS_PROPOSED,DETERMINISTIC_COST_BUDGET_TBD,4,ONE_OWNER_PLUS_UP_TO_THREE_NAMED_MEMBERS_ATOMIC_SHARED_POOL,True,CONFIGURABLE_TBD,MONTHLY_IDEMPOTENT_TIMEZONE_DEFINED_TBD,False,DISABLED,TBD,ON_CAP_COST_ALERT_PAYMENT_OR_POLICY_EVENT,UNAPPROVED,UNAPPROVED,EARLY_ACCESS|FAMILY_NAMED_USERS|CONSUMER_SAFETY|NO_UNLIMITED_USE,COMMERCIAL_OWNER_TBD,PENDING_REVIEW,rp-0.5-blocked-v1,NORMALIZED_STANDARD_USE_AND_PREMIUM_USE_UNITS,PAUSE_OR_REDUCED_CAPABILITY_ONLY_AFTER_APPROVAL,NO_PROVIDER_AVAILABILITY_PROMISE,TBD_PHASE_3,False,False,UNDECIDED_API_SEAT_OR_CUSTOMER_OWNED
managed-secure,Managed Secure,MANAGED_SECURE,0.5.0-draft,QUALIFICATION_ARCHITECTURE_REVIEW_ONLY,,,,TBD_PER_QUOTE,QUOTE_ONLY,TBD_CONTRACT_SPECIFIC,STANDARD|ADVANCED|PREMIUM|RESTRICTED,TBD_AFTER_ARCHITECTURE_REVIEW,TBD_AFTER_ARCHITECTURE_REVIEW,TBD,TBD,True,TBD,TBD,False,NO_SILENT_OVERAGE,TBD,IMMEDIATE_ON_SECURITY_COST_OR_POLICY_EVENT,UNAPPROVED,UNAPPROVED,MANAGED_SECURE_QUALIFICATION_ONLY|NO_CONFIDENTIAL_PUBLIC_UPLOAD,SECURITY_OWNER_TBD,PENDING_REVIEW,rp-0.5-blocked-v1,TBD_BY_APPROVED_ARCHITECTURE,NONE_UNTIL_VALIDATED,PAUSE_AND_INCIDENT_ESCALATION,TBD_PHASE_3_OR_SECURE_RUNTIME,False,False,QUALIFICATION_ONLY_NO_PRODUCTION_RUNTIME
