Concept,Version,Retain canonical ID,Archive/delete candidate ID,Required action,Reason
Third-Party AI Engine Disclosure,v1,g_t42ahonbgj46yr4,g_syi2d4527gfek4s,ARCHIVE/DELETE MANUALLY,Older duplicate
Third-Party AI Engine Disclosure,v2,g_e55ymuvvqzdhpw2,g_hqdjjqihq4e52gr,ARCHIVE/DELETE MANUALLY,Older duplicate
AI Output Disclaimer,v1,g_ut1gpd1zq8fdf6s,g_klo4kqhotypo5si,ARCHIVE/DELETE MANUALLY,Older duplicate
AI Output Disclaimer,v2,g_pm5pjngp3uy5z45,g_lmt7mrhzezpo4ye,ARCHIVE/DELETE MANUALLY,Older duplicate
Accessibility,v1,g_naptcqvooc2m4js,g_7z371gz8rz0p2k0,ARCHIVE/DELETE MANUALLY,Older duplicate
Accessibility,v2,g_fw6mscki4os51c9,g_9ob5ifi93xmhtg6,ARCHIVE/DELETE MANUALLY,Older duplicate
Cookie Policy,v1,g_eiqe9rck2n7fxtp,g_3xblp0xi1tmm7oy,ARCHIVE/DELETE MANUALLY,Older duplicate
Cookie Policy,v2,g_0zi0fzaery35acm,g_ykqfs3tdiik6uhw,ARCHIVE/DELETE MANUALLY,Older duplicate
Acceptable Use,v1,g_oglkz5uv0h9i7if,g_fa5wv2k8966m9s8,ARCHIVE/DELETE MANUALLY,Older duplicate
Acceptable Use,v2,g_54zn6qgxqmp2jt8,g_p6318obesjrxo8r,ARCHIVE/DELETE MANUALLY,Older duplicate
Terms,v1,g_lljvypn0n0fu3l3,g_3aj0h3tkbta234s,ARCHIVE/DELETE MANUALLY,Older duplicate
Terms,v2,g_j0y8ymxzeoteqi3,g_ea8f42pvf61i7t0,ARCHIVE/DELETE MANUALLY,Older duplicate
OpenAI ChatGPT,v1,g_stmvk5zxepsikrd,g_qrzxugcnriag3kp,ARCHIVE/DELETE MANUALLY,"Misnamed replacement: OpenAI ChatGPT — en styrt leverandørbane…"
Student Intake,v1,g_bacqfyst51vb6tr,g_zn3e09linhyjef3,ARCHIVE/DELETE MANUALLY,"Misnamed first attempt: Velkommen til Atlas AI"
